Name,cost
Aatrox,1
Ezreal,1
Heimerdinger,1
Karma,1
Leona,1
Nidalee,1
Sejuani,1
Senna,1
Sett,1
Skarner,1
Tahm Kench,1
Taric,1
Vladimir,1
Corki,4
Hecarim,4
Neeko,4
Ornn,4
Sona,4
Talon,4
Xayah,4
Bard,5
Pyke,5
Soraka,5
Yasuo,5
Zoe,5
Ashe,2
Braum,2
Gnar,2
Jinx,2
Kayn,2
Lillia,2
Nami,2
Qiyana,2
Shen,2
Thresh,2
Tristana,2
Twitch,2
Yone,2
Anivia,3
Diana,3
Elise,3
Illaoi,3
Lee Sin,3
Lulu,3
Nunu,3
Olaf,3
Ryze,3
Swain,3
Sylas,3
Varus,3
Daeja,8
Idas,8
Shi Oh Yu,8
Syfen,8
Ao Shin,10
Aurelion Sol,10
Shyvana,10
